http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
A lightweight hybrid security framework for wireless sensor networks,"Sedjelmaci, H.; Senouci, S.M.","DRIVE Lab., Univ. of Bourgogne, Nevers, France","Communications (ICC), 2014 IEEE International Conference on",20140828,2014,,,3636,3641,"On the one hand, intrusion detection systems (IDSs) have shown their ability to detect internal and external attacks with a high accuracy. On the other hand, cryptography techniques have proved their ability to assure the privacy of communication, i.e. data confidentiality. In this paper, we propose to develop and implement a lightweight Security Framework for Wireless Sensor Networks (WSNs) that combines the advantages of both cryptography and IDS techniques to assure the privacy of communication and detect the most dangerous attacks such as spoofed, altered or replayed routing information, man-in-the-middle, and denial-of-service attacks. However, the execution of both techniques at each node generates high overhead and energy consumption, even if we consider a cluster-based WSN. To economize nodes' energy, the cryptography operation is launched during a certain period determined mathematically and only within the cluster where a malicious node is detected. The proposed framework is evaluated analytically and implemented under TOSSIM simulator. According to our simulation results, our framework outperforms other security frameworks proposed in the literature in terms of detection rate, false positive rate, energy consumption and average efficiency.",,,,10.1109/ICC.2014.6883886,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6883886,Attacks;Intrusion detection systems;Symmetric cryptography;Wireless sensor networks,Encryption;Energy consumption;Intrusion detection;Sensors;Wireless sensor networks,cryptography;telecommunication security;wireless sensor networks,TOSSIM simulator;average efficiency;cryptography techniques;detection rate;energy consumption;external attacks;false positive rate;internal attacks;intrusion detection systems;lightweight hybrid security framework;malicious node;privacy of communication;wireless sensor networks,,0,,19,,,10-14 June 2014,,IEEE,IEEE Conference Publications,
Spatial-Temporal Characteristics of Internet Malicious Sources,"Zesheng Chen; Chuanyi Ji; Barford, P.","Florida Int. Univ., Miami",INFOCOM 2008. The 27th Conference on Computer Communications. IEEE,20080502,2008,,,,,"This paper presents a large scale longitudinal study of the spatial and temporal features of malicious source addresses. The basis of our study is a 402-day trace of over 7 billion Internet intrusion attempts provided by DShield.org, which includes 160 million unique source addresses. Specifically, we focus on spatial distributions and temporal characteristics of malicious sources. First, we find that one out of 27 hosts is potentially a scanning source among 2<sup>32</sup> IPv4 addresses. We then show that malicious sources have a persistent, non-uniform spatial distribution. That is, more than 80% of the sources send packets from the same 20% of the IPv4 address space over time. We also find that 7.3% of malicious source addresses are unroutable, and that some source addresses are correlated. Next, we show that most sources have a short lifetime. 57.9 % of the source addresses appear only once in the trace, and 90% of source addresses appear less than 5 times. These results have implications for both attacks and defenses.",0743-166X,978-1-4244-2025-4,,10.1109/INFOCOM.2008.299,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4509894,,Communications Society;Gain measurement;Information filtering;Information filters;Internet;Intrusion detection;Large-scale systems;Network address translation;Paper technology;Telecommunication traffic,IP networks;Internet;security of data;telecommunication security,IPV4 address;Internet malicious source;spatial-temporal characteristics,,11,1,16,,,13-18 April 2008,,IEEE,IEEE Conference Publications,
An Intellilgent Infrastructure Strategy to Improving the Performance and Detection Capability of Intrusion Detection Systems,"Hooper, E.","Information Security Group, University of London, Royal Holloway, Egham, Surrey, TW20 OEX, UK. E. Hooper@rhul.ac.uk, ehooper@aya.yale.edu","Securecomm and Workshops, 2006",20070515,2006,,,1,10,"Network and host Intrusion Detection Systems (IDS) are used to identify suspicious network traffic. However, a high percentage of alerts generated by such systems are liable to be false positives. False positives create considerable administrative overheads, since these alerts typically require manual intervention from a network administrator In order to reduce the number of false positives, we propose a novel infrastructure approach involving what we call network quarantine channels. The network quarantine channels and associated techniques are used to perform further interaction with hosts that have been identified as the source of suspicious traffic. The network quarantine channels are used to provide a more accurate assessment of the potential attacks sent by suspicious hosts, before sending the final status of the alerts to the IDS monitor for the network administrator's response.",,1-4244-0423-1,1-4244-0423-1,10.1109/SECCOMW.2006.359566,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4198826,,Data analysis;Frequency;Information security;Intrusion detection;Prototypes;Remote monitoring;Telecommunication traffic,,,,0,,36,,,Aug. 2006,,IEEE,IEEE Conference Publications,
A Novel PCA-Based Network Anomaly Detection,"Callegari, C.; Gazzarrini, L.; Giordano, S.; Pagano, M.; Pepe, T.","Dept. of Inf. Eng., Univ. of Pisa, Pisa, Italy","Communications (ICC), 2011 IEEE International Conference on",20110728,2011,,,1,5,"The increasing number of network attacks causes growing problems for network operators and users. Thus, detecting anomalous traffic is of primary interest in IP networks management. In this paper we address the problem considering a method based on PCA for detecting network anomalies. In more detail, we present a new technique that extends the state of the art in PCA based anomaly detection. Indeed, by means of the Kullback-Leibler divergence we are able to obtain great improvements with respect to the performance of the classical approach. Moreover we also introduce a method for identifying the flows responsible for an anomaly detected at the aggregated level. The performance analysis, presented in this paper, demonstrates the effectiveness of the proposed method.",1550-3607,978-1-61284-232-5,978-1-61284-231-8,10.1109/icc.2011.5962595,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5962595,,Aggregates;Entropy;Histograms;IEEE Communications Society;IP networks;Principal component analysis;Yttrium,IP networks;computer network security;principal component analysis;telecommunication traffic,IP networks management;Kullback-Leibler divergence;PCA-based network anomaly detection;anomalous traffic detection;network attacks;principal component analysis,,3,,15,,,5-9 June 2011,,IEEE,IEEE Conference Publications,
DTAD: A Dynamic Taint Analysis Detector for Information Security,"Bai, Zhiwen; Liming Wang; Jinglin Chen; Lin Xu; Jian Liu; Xiyang Liu","Software Eng. Inst., Xidian Univ., Xi''an","Web-Age Information Management, 2008. WAIM '08. The Ninth International Conference on",20080812,2008,,,591,597,"Information infection and information leakage in computer systems are mainly caused by insecure network access. Considering the particularity of network security, a tool DTAD (dynamic taint analysis detector) for information flow security detection is designed and implemented, aiming at the problem of data security in network access. This tool performs log recording and state controlling for malicious access and virus vulnerability using the state-control characteristic of virtual machines. Defense systems capture network data by executing applications to determine whether these accesses (i.e. target jumping, function address and instruction access) are legitimate or not. Once an attack is detected, the tool records states of the virtual machine at the process level as well as the kernel level. For attacks caused by malicious code, the tool injects its own diagnostic code into the process space of running programs to substitute the malicious code, as a result, related information for the attacked process is collected. The tool is able to generate precise signatures for network intrusion detection by associating and comparing network data recorded in log files with process information collected by the virtual machine, the whole process is finished automatically. The tool can also precisely identify attack types and provide effective protection measures through fast signature releasing. Experiments have validated the efficiency of the tool in attack recognition and information protection, and indicated that this detection and protection system is effective in recognizing, tracking and processing taint data.",,978-0-7695-3185-4,978-0-7695-3185-4,10.1109/WAIM.2008.60,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4597071,,Costs;Data security;Detectors;Information analysis;Information management;Information security;Intrusion detection;Protection;Virtual machining;Viruses (medical),computer viruses;program diagnostics;virtual machines,attack recognition;computer systems;data security;defense systems;diagnostic code;dynamic taint analysis detector;information flow security detection;information infection;information leakage;information protection;information security;log recording;malicious access;network access;network intrusion detection;state control;virtual machines;virus vulnerability,,0,,28,,,20-22 July 2008,,IEEE,IEEE Conference Publications,
NEAR  Network extractor of anomaly records or traffic split-counting for anomaly detection,"Vancea, F.; Vancea, C.","Comput. & Inf. Technol. Dept., Univ. of Oradea, Oradea, Romania","EUROCON, 2013 IEEE",20131010,2013,,,60,64,"The availability of network communications may be affected or even disrupted by malicious actions or by unexpected usage conditions. The good health of systems connected to the network (or lack thereof) may also reflect on network usage patterns. In order to maintain proper functionality for a significantly large network domain, automated or semi-automated methods of anomaly detection are required and several systems have been developed so far. This paper presents NEAR, the feature collection part of such a system, aiming to detect abnormal conditions by collecting relevant traffic features in key points of the network before analyzing them using signal processing methods.",,978-1-4673-2230-0,,10.1109/EUROCON.2013.6624966,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6624966,client-server;correlation;darknet;intrusion detection;time-frequency domain;traffic features,Correlation;Feature extraction;Monitoring;Ports (Computers);Probes;Radiation detectors;Servers,computer network reliability;computer networks;security of data;traffic,NEAR;abnormal conditions;anomaly detection;availability;computer networks;feature collection;malicious actions;network domain;network extractor of anomaly records;network usage patterns;semiautomated methods;signal processing methods;traffic features;traffic split-counting,,1,,8,,,1-4 July 2013,,IEEE,IEEE Conference Publications,
Tutorial 02,,,"Advanced Communication Technology (ICACT), 2012 14th International Conference on",20120403,2012,,,1,130,Provides an abstract of the tutorial presentation and a brief professional biography of the presenter. The complete presentation was not made available for publication as part of the conference proceedings.,1738-9445,978-1-4673-0150-3,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6174870,,,,,,0,,,,,19-22 Feb. 2012,,IEEE,IEEE Conference Publications,
A survey of security issues in mobile ad hoc and sensor networks,"Djenouri, D.; Khelladi, L.; Badache, A.N.",,"Communications Surveys & Tutorials, IEEE",20060213,2005,7,4,2,28,"<div style=font-variant: small-caps; font-size: .9em;>First Page of the Article</div><img class=img-abs-container style=width: 95%; border: 1px solid #808080; src=/xploreAssets/images/absImages/01593277.png border=0>",1553-877X,,,10.1109/COMST.2005.1593277,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1593277,,,,,,105,,118,,,Fourth Quarter 2005,,IEEE,IEEE Journals & Magazines,
A double authentication scheme to detect impersonation attack in link state routing protocols,"Dijiang Huang; Sinha, A.; Medhi, D.","Sch. of Interdisciplinary Comput. & Eng., Missouri Univ., Kansas City, MO, USA","Communications, 2003. ICC '03. IEEE International Conference on",20030620,2003,3,,1723,1727 vol.3,"In this paper, we present an authentication scheme to prevent impersonation attack in link state routing protocol. The existing authentication schemes are either simple to compute but vulnerable to attacks of too robust against attacks but has exponential computation cost. We introduce a double authentication (DA) scheme which provides authentication to the routing information data carried by link state routing packets. In this scheme every router needs to sign the routing data twice with two different keys using a group keying scheme, which is based on one-way hash function. Based on our performance assessment, we found that this scheme is simpler to implement, computationally efficient and provides the degree of robustness desired with less communication overhead but has higher memory requirement.",,0-7803-7802-4,,10.1109/ICC.2003.1203895,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1203895,,Authentication;Cities and towns;Computational efficiency;Costs;Cryptography;Intrusion detection;Public key;Robustness;Routing protocols;Telecommunication traffic,cryptography;message authentication;routing protocols;telecommunication security,double authentication scheme;group keying scheme;hash function;impersonation attack detection;insider attack;link state routing packet;link state routing protocol;routing information data,,3,7,16,,,11-15 May 2003,,IEEE,IEEE Conference Publications,
Comparison of File Integrity Monitoring (FIM) techniques for small business networks,"Wilbert, B.; Lei Chen","Dept. of Comput. Sci., Sam Houston State Univ., Huntsville, TX, USA","Computing, Communication and Networking Technologies (ICCCNT), 2014 International Conference on",20141120,2014,,,1,7,"File Integrity Monitoring (FIM) can provide the ability to track changes which have been made to an operating system or software as a result of malicious behavior. For small business environments, the need for these tools is present; however, because of the difficulty of managing such software many businesses may ignore using them. This paper will discuss how a small business should create criteria for comparing file integrity monitoring tools in order to locate the most effective product for their environment.",,978-1-4799-2695-4,,10.1109/ICCCNT.2014.6963090,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6963090,auditing;log file integrity monitoring;log management;small business environments,Business;Kernel;Monitoring;Security;Virtual machining,business data processing;file organisation;operating systems (computers);system monitoring,FIM;file integrity monitoring techniques;file integrity monitoring tools;malicious behavior;operating system;small business environments;small business networks,,0,,23,,,11-13 July 2014,,IEEE,IEEE Conference Publications,
Teaching ethical hacking in information security curriculum: A case study,"Trabelsi, Z.; Ibrahim, W.","Coll. of Inf. Technol., UAE Univ., Al-Ain, United Arab Emirates","Global Engineering Education Conference (EDUCON), 2013 IEEE",20130613,2013,,,130,137,"Denial of Service (DoS) attacks are important topics for security courses that teach ethical hacking techniques and intrusion detection. This paper presents a case study of the implementation of comprehensive offensive hands-on lab exercises about three common DoS attacks. The exercises teach students how to perform practically the DoS attacks in an isolated network laboratory environment. The paper discuses also some ethical and legal issues related to teaching ethical hacking, and then lists steps that schools and educators should take to improve the chances of having a successful and problem free information security programs.",2165-9559,978-1-4673-6111-8,978-1-4673-6109-5,10.1109/EduCon.2013.6530097,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6530097,DoS attacks;Ethical hacking;Information security curriculum;School liability,Computer crime;Floods;IP networks;Monitoring;Ports (Computers);Servers;Switches,computer aided instruction;computer network security;computer science education;educational courses;ethical aspects;law,DoS attacks;denial of service attacks;ethical hacking teaching;ethical issues;information security curriculum;information security programs;intrusion detection;isolated network laboratory environment;legal issues;security courses,,0,,23,,,13-15 March 2013,,IEEE,IEEE Conference Publications,
Resource aware packet scheduling for multi-resource in-network nodes,Chunguang Wang; Qingbo Wu; Yusong Tan; Wenqi Ma; Quanyuan Wu,"Coll. of Comput., Nat. Univ. of Defense Technol., Changsha, China","Computer Science and Network Technology (ICCSNT), 2013 3rd International Conference on",20141201,2013,,,806,810,"Network has been widely reported as a bottleneck resource for amounts of data transferring in cloud and big data computing frameworks. In this paper, we focus on the heterogeneous flows problem that various flows consuming different amount of multiple resources. We develop a Resource Aware Queuing (RAQ) system to classify various flows into different categories according to their resource requirement amounts, and then schedule their processing order based on the switch multiple resource utilization. Based on the resource aware scheduling we also modify the packets dropping strategy so that the sending rates of different flows are also correspondingly modulated. We evaluate RAQ performance via simulation experiments and the results demonstrate that RAQ can improve network resources utilization and throughput without imposing serious negative impact on packets delays.",,,,10.1109/ICCSNT.2013.6967229,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6967229,RAQ;multi-resource sharing;packet scheduling,Bandwidth;Random access memory;Resource management;Schedules;Scheduling algorithms;Switches;Throughput,Big Data;cloud computing;computer networks;queueing theory,big data computing;bottleneck resource;cloud computing;heterogeneous flows problem;multiresource in-network nodes;resource aware packet scheduling;resource aware queuing system;resource aware scheduling,,0,,12,,,12-13 Oct. 2013,,IEEE,IEEE Conference Publications,
An intrusion detection sensor for the NetVM virtual processor,"Morandi, O.; Moscardi, G.; Risso, F.","Dipt. di Autom. e Inf., Politec. di Torino, Turin","Information Networking, 2009. ICOIN 2009. International Conference on",20090428,2009,,,1,5,"In the wide scenario of packet processing architectures, the development of ever sophisticated applications faces the challenge of finding a balance between different requirements: ever increasing performance, flexibility, and portability of the software across different platforms and hardware architectures. The Network Virtual Machine (NetVM) aims at responding to such defy by taking into account all these elements and by providing an abstract architecture for developing today's packet processing applications. In order to demonstrate that the NetVM platform can be profitably employed for the development of complex applications, we developed a Snort-like network intrusion detection sensor. In this paper we present its architecture and show that NetVM represents an excellent target for the dynamic generation of packet processing programs.",,978-89-960761-3-1,978-89-960761-3-1,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4897261,,Application software;Computer architecture;Coprocessors;Face detection;Hardware;Intrusion detection;Multicore processing;Software performance;Throughput;Virtual machining,IP networks;security of data;virtual machines,NetVM virtual processor;intrusion detection sensor;network virtual machine;packet processing architectures,,0,,16,,,21-24 Jan. 2009,,IEEE,IEEE Conference Publications,
Hardware architecture for the fast pattern matching,"Kastil, J.; Kosar, V.; Korenek, J.","Fac. of Inf. Technol., Brno Univ. of Technol., Brno, Czech Republic","Design and Diagnostics of Electronic Circuits & Systems (DDECS), 2013 IEEE 16th International Symposium on",20130701,2013,,,120,123,"As the speed of current computer networks increases, it is necessary to protect networks by security systems such as firewalls and Intrusion Detection Systems (IDS) operating at multigigabit speeds. As attacks on modern networks became more and more complex, it is necessity to detect attack placed not only in single packet but at the level of network flows. Pattern matching in the network flows is the time-critical operation of many modern IDS. Most of the regularly used patterns are described by the regular expression. This work describes advanced hardware architecture for the fast regular expression matching based on the perfect hashing. The proposed architecture is scalable and can achieve multigigabit throughput per network flow.",,978-1-4673-6135-4,978-1-4673-6134-7,10.1109/DDECS.2013.6549801,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6549801,,Automata;Clocks;Computer architecture;Context;Hardware;Pattern matching;Throughput,computer network security;pattern matching,IDS;advanced hardware architecture;attack detection;computer networks;fast pattern matching;fast regular expression matching;firewalls;intrusion detection systems;multigigabit speeds;multigigabit throughput;network flow level;perfect hashing;security systems,,0,,16,,,8-10 April 2013,,IEEE,IEEE Conference Publications,
Analysis and Research on Hidden Technology Based on Kernel-Level Rootkit Process,Lu Zeyong; Gan Gang; Jiang Jun,"Network Eng. Coll., Chengdu Univ. of Inf. Technol., Chengdu, China","Internet Technology and Applications (iTAP), 2011 International Conference on",20110829,2011,,,1,4,"Trojan technology not only the most common and the most effective attack mean in network, but also an important approach in intercepted network information. The effective hidden which directly determine the survival of Trojans is the key for success implant Trojan. This paper first analysis the principle of Rootkit, researching the Windows kernel-level Trojan's hidden technologies further, and to build a dynamic process model framework basis on it.",,978-1-4244-7253-6,,10.1109/ITAP.2011.6006309,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6006309,,Collaboration;Computational modeling;Computers;Indexes;Kernel;Process control;Trojan horses,authorisation;invasive software,Trojan technology;dynamic process model framework;hidden technology;intercepted network information;kernel-level Rootkit process,,0,,7,,,16-18 Aug. 2011,,IEEE,IEEE Conference Publications,
High speed pattern matching for deep packet inspection,Junghak Kim; Song-in Choi,"Electron. & Telecommun. Res. Inst., Daejeon, South Korea","Communications and Information Technology, 2009. ISCIT 2009. 9th International Symposium on",20091201,2009,,,1310,1315,"In communication equipments, pattern matching techniques are used to handle various requirements, such as network security, QoS and so on. This paper presents a pattern matching technique to process multiple characters at a single clock cycle. And this paper presents the way to find a particular pattern from communication packets using TCAMs.",,978-1-4244-4521-9,978-1-4244-4522-6,10.1109/ISCIT.2009.5341095,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5341095,,Automata;Clocks;Communication equipment;Communication networks;Doped fiber amplifiers;Electronic mail;Information security;Inspection;Pattern matching;Software algorithms,content-addressable storage;pattern matching;quality of service;telecommunication security,QoS;TCAM;communication equipment;deep packet inspection;high speed pattern matching;network security;requirements handling,,1,2,7,,,28-30 Sept. 2009,,IEEE,IEEE Conference Publications,
Private cloud security: Secured user authentication by using enhanced hybrid algorithm,"Gajra, N.; Khan, S.S.; Rane, P.","Dept. of Comput. Eng., Mumbai Univ., Mumbai, India","Advances in Communication and Computing Technologies (ICACACT), 2014 International Conference on",20150903,2014,,,1,6,"Using cloud computing, users store their data remotely to third party owners and enjoy the on-demand applications, services and storage from a shared pool of configurable computing resources, without the burden of data storage and maintenance and costs. However, we must provide security guarantees not only on authentication but also on files over the cloud for the outsourced data, which is now maintained by third parties such as cloud providers. This research focuses on mechanism, the hybrid of AES and Blowfish for encryption. For key management and key exchange, Key is generated by the ECC key generator and then Key agreement can be done by Diffie-Hellman. Combining the concept of ECC and DH is called Elliptic Curve Diffie-Hellman (ECDH) key exchange. Authentication should be done by Using Elliptic Curve Digital Signature Algorithm (ECDSA). This provides security protection for outsourced data, while introducing only minimal performance and monetary cost overhead.",,978-1-4799-7318-7,,10.1109/EIC.2015.7230712,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7230712,AES (Advanced Encryption Standard);Blowfish Algorithm;Cloud Computing;Digital Signature;ECC (Elliptic Curve Cryptography);Elliptic Curve Diffie Hellman (ECDH);Modified AES,Authentication;Cloud computing;Elliptic curve cryptography;Encryption;Organizations,cloud computing;data privacy;digital signatures;public key cryptography;storage management;user interfaces,AES;Blowfish;ECC key generator;ECDH key exchange;ECDSA;cloud computing;data storage;elliptic curve Diffie-Hellman key exchange;elliptic curve digital signature algorithm;encryption;enhanced hybrid algorithm;maintenance;monetary cost overhead;private cloud security;secured user authentication,,0,,20,,,10-11 Aug. 2014,,IEEE,IEEE Conference Publications,
Amethyst: automatic alarm assessment for perimeter intrusion detection systems (PIDS),"Sands, L.","Home Office, Police Scientific Development Branch, United Kingdom","Intelligence Distributed Surveillance Systems, IEE Symposium on (Ref. No. 2003/10062)",20040524,2003,,,1-Apr,7-Apr,"<div style=font-variant: small-caps; font-size: .9em;>First Page of the Article</div><img class=img-abs-container style=width: 95%; border: 1px solid #808080; src=/xploreAssets/images/absImages/01300128.png border=0>",,,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1300128,,,,,,0,,,,,26 Feb. 2003,,IET,IET Conference Publications,
Preparing databases for network traffic monitoring,"Vokorokos, L.; Pekar, A.; Adam, N.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kos&#x030C;ice, Slovakia","Applied Machine Intelligence and Informatics (SAMI), 2012 IEEE 10th International Symposium on",20120531,2012,,,13,18,"This paper deals with the solution of database related problems which can occur during network traffic monitoring. During data evaluation through a database excessive response time can be noticed. While the time necessary to obtain the data from the database has a significant effect on the result of the monitoring, it is important to keep its value as low as possible. Practically, the vast majority of the monitoring tools have to deal with the problems related to the database's excessive response time, so their solution is really justified. In this paper an alternative method of network monitoring, the BasicMeter tool will be introduced by which the exact problems and their solution will be illustrated.",,978-1-4577-0196-2,,10.1109/SAMI.2012.6208950,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6208950,,Data warehouses;Database systems;IP networks;Informatics;Monitoring;Time factors,computer network management;database management systems,BasicMeter tool;computer network;database excessive response time;database preparation;network traffic monitoring,,0,,20,,,26-28 Jan. 2012,,IEEE,IEEE Conference Publications,
Low cost weather station with remote control,"Krejcar, O.","Dept. of Inf. Technol., Univ. of Hradec Kralove, Hradec Kralove, Czech Republic","Applied Machine Intelligence and Informatics (SAMI), 2012 IEEE 10th International Symposium on",20120531,2012,,,463,468,"This work describes use a PC to control home weather station and visualization measuring data via applications written in programming language C# with communications via USB or RS232. Weather station is capable of measure temperature up to five temperature sensors DS18B20, wind speed via measuring turbine with optical encoder, the intensity of illumination via light sensitive element and finally is able to detect an approaching thunderstorm by measuring atmospheric charge. The station also disposing eight galvanic separation switch outputs, whose function in the supplied software set to customer requirements. Visualization is done in the charts for each measured quantity and also in arranged the panel, depicting the actual situation.",,978-1-4577-0196-2,,10.1109/SAMI.2012.6209011,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6209011,Digital Outputs;Measure input quantity;USB/RS232;Vizualization;Weather station,Atmospheric measurements;Data visualization;Meteorology;Switches;Temperature measurement;Temperature sensors,data visualisation;geophysics computing;meteorological instruments;peripheral interfaces;telecontrol;temperature measurement;temperature sensors;thunderstorms;velocity measurement,C# programming language;DS18B20 temperature sensors;RS232;USB;atmospheric charge measurement;galvanic separation switch outputs;illumination intensity;light sensitive element;low cost home weather station control;measuring data visualization;measuring turbine;optical encoder;remote control;temperature measurement;wind speed measurement,,1,,9,,,26-28 Jan. 2012,,IEEE,IEEE Conference Publications,
A Kernel-Level Monitor over Multiprocessor Architectures for High-Performance Network Analysis with Commodity Hardware,"Munoz, A.; Ferro, A.; Liberal, F.; Lopez, J.","Univ. of the Basque Country (UPV/EHU), Bilbao","Sensor Technologies and Applications, 2007. SensorComm 2007. International Conference on",20071204,2007,,,457,462,"Traffic monitoring is an increasingly important discipline for nowadays networking, as Accounting, Security and also Quality of Service (QoS) lay on it. Besides, traffic bandwidth has increased exponentially in the last few years, and high-speed network monitoring is a challenging aim. Performance requirements are highly relevant for monitoring systems. A low-level study of the capturing stages on a traffic analysis system (TAS) has shown room for improvement. We provide an architecture able to cope with high-speed traffic monitoring using commodity hardware. Our design is also intended to exploit the parallelism available in up-to-date workstations. This paper presents a kernel-level monitoring system (ksensor) that, keeping the previous requirements, removes some issues from user-level processing, improving the overall performance.",,978-0-7695-2988-2,,10.1109/SENSORCOMM.2007.4394963,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4394963,,Bandwidth;Ethernet networks;Hardware;Information analysis;Intrusion detection;Kernel;Monitoring;Operating systems;Quality of service;Telecommunication traffic,computer networks;data communication;multiprocessing systems;network operating systems;operating system kernels;quality of service;telecommunication network management;telecommunication traffic,QoS;commodity hardware;high-performance network analysis;kernel-level monitor;multiprocessor architectures;quality of service;traffic analysis system,,1,,18,,,14-20 Oct. 2007,,IEEE,IEEE Conference Publications,
Analogue Fingerprinting for Passive RFID Tags,"Smith, G.S.; Coetzee, M.","Acad. for Inf. Technol., Univ. of Johannesburg, Johannesburg","Broadband Communications, Information Technology & Biomedical Applications, 2008 Third International Conference on",20081208,2008,,,156,163,"Traditionally, modern RFID technology has always been assumed to be reliable, but as technology has advanced, so has the ability to replicate the signals that an RFID tag emits upon being interrogated. This paper presents a method of identifying the authenticity of an RFID tag by means of creating an intentional fingerprint. To achieve this we propose an addition to the modern RFID tag in the form of an analogue circuit. The circuit would perform some arbitrary, predefined, mathematical function on an analogue signal of arbitrary length. The aim of this paper is to provide a solution to prevent fraud and forgery of RFID tags.",,978-1-4244-3281-3,978-0-7695-3453-4,10.1109/BROADCOM.2008.49,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4696102,Analogue;Fingerprint;Forgery;Fraud;RFID,Circuits;Cloning;Counterfeiting;Cryptography;Drugs;Fingerprint recognition;Information technology;Passive RFID tags;RFID tags;Radiofrequency identification,analogue circuits;fingerprint identification;radiofrequency identification,analogue circuit;analogue fingerprinting;analogue signal;arbitrary length;authenticity identification;mathematical function;passive RFID tags;signal replication,,1,,29,,,23-26 Nov. 2008,,IEEE,IEEE Conference Publications,
