http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.seconds.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""seconds"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Automated Signature Generation Method for Zero-Day Polymorphic Worms Based on Multilayer Perceptron Model,"Mohammed, M.M.Z.E.; Chan, H.A.; Ventura, N.; Pathan, A.-S.K.","Coll. of Comput. & Inf. Sci., Al-Imam Muhammad bin Saud Islamic Univ., Riyadh, Saudi Arabia","Advanced Computer Science Applications and Technologies (ACSAT), 2013 International Conference on",20140619,2013,,,450,455,"Polymorphic worms are considered as the most dangerous threats to the Internet security, and the danger lies in changing their payloads in every infection attempt to avoid the security systems. In this paper, we propose an accurate signature generation system for zero-day polymorphic worms. We have designed a novel Double-honeynet system, which is able to detect zero-day polymorphic worms that have not been seen before. To generate signatures for polymorphic worms we have two steps. The first step is the polymorphic worms sample collection which is done by the Double-honeynet system. The second step is the signature generation for the collected samples which is done by k-means clustering algorithm and a Multilayer Perceptron Model. The system collects different types of polymorphic worms, we used the k-means clustering algorithm to separate each type into a cluster. The Multilayer Perceptron Model is used to generate signatures for each cluster. The main goal for this system is to reduce the false positives and false negatives.",,,,10.1109/ACSAT.2013.94,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6836623,Algorithm;Honeynet;Machine Learning;Polymorphic;Worms,Clustering algorithms;Computers;Grippers;Internet;Machine learning algorithms;Multilayer perceptrons;Payloads,Internet;computer network security;digital signatures;invasive software;multilayer perceptrons;pattern clustering,Internet security systems;automated signature generation method;double-honeynet system;false negatives;false positives;k-means clustering algorithm;multilayer perceptron model;zero-day polymorphic worm detection,,0,,21,,,23-24 Dec. 2013,,IEEE,IEEE Conference Publications,
FireCol: A Collaborative Protection Network for the Detection of Flooding DDoS Attacks,"Francois, J.; Aib, I.; Boutaba, R.","SnT, University of Luxembourg, Luxembourg,","Networking, IEEE/ACM Transactions on",20121213,2012,20,6,1828,1841,"Distributed denial-of-service (DDoS) attacks remain a major security problem, the mitigation of which is very hard especially when it comes to highly distributed botnet-based attacks. The early discovery of these attacks, although challenging, is necessary to protect end-users as well as the expensive network infrastructure resources. In this paper, we address the problem of DDoS attacks and present the theoretical foundation, architecture, and algorithms of FireCol. The core of FireCol is composed of intrusion prevention systems (IPSs) located at the Internet service providers (ISPs) level. The IPSs form virtual protection rings around the hosts to defend and collaborate by exchanging selected traffic information. The evaluation of FireCol using extensive simulations and a real dataset is presented, showing FireCol effectiveness and low overhead, as well as its support for incremental deployment in real networks.",1063-6692,,,10.1109/TNET.2012.2194508,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6189766,Collaboration;detection;distributed denial-of-service (DDos);flooding;network security,Collaboration;Computer crime;Entropy;Fires;IP networks;Time frequency analysis,,,,5,,54,,4/25/2012,Dec. 2012,,IEEE,IEEE Journals & Magazines,
Multi-level alert clustering for intrusion detection sensor data,"Siraj, A.; Vaughn, R.B.","Dept. of Comput. Sci. & Eng., Mississippi State Univ., Msstate, MS, USA","Fuzzy Information Processing Society, 2005. NAFIPS 2005. Annual Meeting of the North American",20051205,2005,,,748,753,"Alert fusion is a promising research area in information assurance today. To increase trustworthiness in systems, most modern information systems deployed in distributed environments employ multiple, diverse sensors that monitor security violations throughout the network. The outputs of the sensors must be fused in an effective and intelligent manner in order to provide an overall view of the status of such systems. A unified architecture for intelligent alert fusion essentially combines alert prioritization, alert clustering and alert correlation. In this paper, we address the alert clustering aspect of sensor data fusion in an intrusion detection environment. A causal knowledge based inference technique with fuzzy cognitive modeling is used to cluster alerts by discovering structural relationships in sensor data.",,0-7803-9187-X,,10.1109/NAFIPS.2005.1548632,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1548632,,Data engineering;Data security;Information security;Information systems;Intelligent sensors;Intrusion detection;Monitoring;Protection;Sensor fusion;Sensor systems,cognitive systems;fuzzy systems;inference mechanisms;knowledge based systems;security of data;sensor fusion,alert correlation;alert prioritization;fuzzy cognitive modeling;information system;intelligent alert fusion;intrusion detection;knowledge based inference technique;multilevel alert clustering;sensor data fusion,,7,,16,,,26-28 June 2005,,IEEE,IEEE Conference Publications,
Linux security modules: general security support for the linux kernel,"Wright, C.; Cowan, C.; Morris, J.; Smalley, S.; Kroah-Hartman, G.","WireX Communications,Inc.","Foundations of Intrusion Tolerant Systems, 2003 [Organically Assured and Survivable Information Systems]",20040219,2003,,,213,226,"<div style=font-variant: small-caps; font-size: .9em;>First Page of the Article</div><img class=img-abs-container style=width: 95%; border: 1px solid #808080; src=/xploreAssets/images/absImages/01264934.png border=0>",,0-7695-2057-X,,10.1109/FITS.2003.1264934,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1264934,,Access control;Communication system security;Control systems;Kernel;Linux;Operating systems;Permission;Protection,,,,60,,46,,,2003,,IEEE,IEEE Conference Publications,
Low cost weather station with remote control,"Krejcar, O.","Dept. of Inf. Technol., Univ. of Hradec Kralove, Hradec Kralove, Czech Republic","Applied Machine Intelligence and Informatics (SAMI), 2012 IEEE 10th International Symposium on",20120531,2012,,,463,468,"This work describes use a PC to control home weather station and visualization measuring data via applications written in programming language C# with communications via USB or RS232. Weather station is capable of measure temperature up to five temperature sensors DS18B20, wind speed via measuring turbine with optical encoder, the intensity of illumination via light sensitive element and finally is able to detect an approaching thunderstorm by measuring atmospheric charge. The station also disposing eight galvanic separation switch outputs, whose function in the supplied software set to customer requirements. Visualization is done in the charts for each measured quantity and also in arranged the panel, depicting the actual situation.",,978-1-4577-0196-2,,10.1109/SAMI.2012.6209011,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6209011,Digital Outputs;Measure input quantity;USB/RS232;Vizualization;Weather station,Atmospheric measurements;Data visualization;Meteorology;Switches;Temperature measurement;Temperature sensors,data visualisation;geophysics computing;meteorological instruments;peripheral interfaces;telecontrol;temperature measurement;temperature sensors;thunderstorms;velocity measurement,C# programming language;DS18B20 temperature sensors;RS232;USB;atmospheric charge measurement;galvanic separation switch outputs;illumination intensity;light sensitive element;low cost home weather station control;measuring data visualization;measuring turbine;optical encoder;remote control;temperature measurement;wind speed measurement,,1,,9,,,26-28 Jan. 2012,,IEEE,IEEE Conference Publications,
Matching TCP packets and its application to the detection of long connection chains on the Internet,"Jianhua Yang; Huang, S.-H.S.","Dept. of Comput. Sci., Houston Univ., TX, USA","Advanced Information Networking and Applications, 2005. AINA 2005. 19th International Conference on",20050425,2005,1,,1005,1010 vol.1,"Network attackers usually launch their attacks behind a long connection chain. One way to stop such attacks is to prevent the attackers from using computers as stepping-stones for their attacks. A Step-Function method has been proposed to detect the length of a connection chain from a host to the victim machine. The algorithm is based on the changes in packet round trip times. Due to many network protocol issues, it is impossible to match all such packets correctly. We propose two algorithms to match TCP packet in real-time. The first algorithm matched fewer packets but the matching is correct. The second one matches more packets with some uncertainty on the correctness. The two algorithms gave almost identical results in determining the length of a connection chain. The algorithm gives a way to stop stepping-stone intrusion on the Internet in real-time.",1550-445X,0-7695-2249-1,,10.1109/AINA.2005.240,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1423618,,Application software;Change detection algorithms;Computer science;Cryptography;Electronic mail;Heuristic algorithms;IP networks;Internet;Protocols;Uncertainty,Internet;security of data;telecommunication security;transport protocols,Internet;TCP packet matching;conservative algorithm;heuristic algorithm;long connection chain detection;network attacks;stepping-stone intrusion detection,,3,,14,,,28-30 March 2005,,IEEE,IEEE Conference Publications,
Alert Detection in System Logs,"Oliner, A.J.; Aiken, A.; Stearley, J.","Stanford Univ., Stanford, CA","Data Mining, 2008. ICDM '08. Eighth IEEE International Conference on",20090210,2008,,,959,964,"We present Nodeinfo, an unsupervised algorithm for anomaly detection in system logs. We demonstrate Nodeinfo's effectiveness on data from four of the world's most powerful supercomputers: using logs representing over 746 million processor-hours, in which anomalous events called alerts were manually tagged for scoring, we aim to automatically identify the regions of the log containing those alerts. We formalize the alert detection task in these terms, describe how Nodeinfo uses the information entropy of message terms to identify alerts, and present an online version of this algorithm, which is now in production use. This is the first work to investigate alert detection on (several) publicly-available supercomputer system logs, thereby providing a reproducible performance baseline.",1550-4786,978-0-7695-3502-9,,10.1109/ICDM.2008.132,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4781208,anomaly detection;fault detection;hpc;information theory;log analysis,Costs;Data mining;Detection algorithms;Fault detection;Information entropy;Laboratories;Personnel;Production systems;Supercomputers;USA Councils,entropy;security of data,Nodeinfo;alert detection;anomaly detection;information entropy;message terms;system logs;unsupervised algorithm,,15,,19,,,15-19 Dec. 2008,,IEEE,IEEE Conference Publications,
A Distributed and Coordinated Massive DDOS Attack Detection and Response Approach,"Aroua, M.K.; Zouari, B.","LIP2 Lab., Univ. El Manar, Tunis, Tunisia","Computer Software and Applications Conference Workshops (COMPSACW), 2012 IEEE 36th Annual",20121110,2012,,,230,235,Nowadays Distributed Denial of Service (DDoS) attacks related to networked enterprise systems is a problem that has become much known. Many papers dealt with this type of attacks. Recently DDoS attacks that target large cyberspaces like national cyberspaces have become a hot topic. We start from an existing architecture called Saher Architecture. Saher is used to detect attacks threatening Tunisian National cyberspace. We improve this architecture and propose an approach that allows using a consensus algorithm executed by the probes of the Internet Service Providers in order to detect and react to massive DDoS attacks in a coordinated fashion and under Byzantine assumptions. Different levels of alerts are proposed and the reaction mechanisms depend on the type of the attack. The final outcome of this research is a framework that affords the necessary mechanisms allowing a national cyberspace to counter massive DDoS attacks by coordinating internet Service Providers effort in order to detect and respond to the attacks.,,978-1-4673-2714-5,978-0-7695-4758-9,10.1109/COMPSACW.2012.50,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6341580,Alert correlation;Attack response;DDos Attacks;Intrusion Detection;consensus algorithm,Computer crime;Cyberspace;Limiting;Probes;Proposals;Sensors;Vectors,Internet;computer network security;security of data,Byzantine assumptions;ISP;Internet service providers;Saher Architecture;Tunisian National cyberspace;consensus algorithm;coordinated massive DDOS attack detection;distributed denial of service;distributed massive DDOS attack detection;national cyberspaces;networked enterprise systems,,0,,23,,,16-20 July 2012,,IEEE,IEEE Conference Publications,
MPC: Mitigating Stealthy Power Control Attacks in Wireless Ad Hoc Networks,"Khalil, I.","Coll. of Inf. Technol., United Arab Emirates Univ., Al-Ain, United Arab Emirates","Global Telecommunications Conference, 2009. GLOBECOM 2009. IEEE",20100304,2009,,,1,6,"Local monitoring has been demonstrated as a powerful technique for mitigating security attacks in multi-hop ad-hoc networks. In local monitoring, nodes overhear partial neighborhood communication to detect misbehavior such as packet drop or delay. However, local monitoring as presented in the literature is vulnerable to stealthy packet dropping through transmission power control. Stealthy packet dropping disrupts the packet from reaching the destination by malicious behavior at an intermediate node. However, the malicious node gives the impression to its neighbors that it performed the legitimate forwarding action. Moreover, a legitimate node comes under suspicion. We provide a protocol called MPC to remedy the attack. MPC expands the set of possible monitors of a node by redefining the monitor role and functionality. We show through analysis and simulation that the basic local monitoring (BLM) fails to efficiently mitigate stealthy power control attacks while MPC successfully mitigates them.",1930-529X,978-1-4244-4148-8,,10.1109/GLOCOM.2009.5425559,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5425559,,Communication system traffic control;Condition monitoring;Cryptography;Delay;Mobile ad hoc networks;Power control;Protocols;Relays;Spread spectrum communication;Wireless sensor networks,ad hoc networks;power control;protocols;security of data;wireless channels,MPC;basic local monitoring;malicious behavior;mitigating security attacks;mitigating stealthy power control attacks;multihop ad-hoc networks;partial neighborhood communication;protocol;stealthy packet dropping;wireless ad hoc networks,,0,,18,,,Nov. 30 2009-Dec. 4 2009,,IEEE,IEEE Conference Publications,
Security as a Service Model for Cloud Environment,"Varadharajan, V.; Tupakula, U.","Adv. Cyber Security Res. Centre, Macquarie Univ., Sydney, NSW, Australia","Network and Service Management, IEEE Transactions on",20140425,2014,11,1,60,75,Cloud computing is becoming increasingly important for provision of services and storage of data in the Internet. However there are several significant challenges in securing cloud infrastructures from different types of attacks. The focus of this paper is on the security services that a cloud provider can offer as part of its infrastructure to its customers (tenants) to counteract these attacks. Our main contribution is a security architecture that provides a flexible security as a service model that a cloud provider can offer to its tenants and customers of its tenants. Our security as a service model while offering a baseline security to the provider to protect its own cloud infrastructure also provides flexibility to tenants to have additional security functionalities that suit their security requirements. The paper describes the design of the security architecture and discusses how different types of attacks are counteracted by the proposed architecture. We have implemented the security architecture and the paper discusses analysis and performance evaluation results.,1932-4537,,,10.1109/TNSM.2014.041614.120394,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6805344,Cloud security;security and privacy;security architecture,Cloud computing;Computer architecture;Operating systems;Privacy;Security;Software as a service;Virtual machining,cloud computing;security of data,Internet;baseline security;cloud computing;cloud environment;cloud infrastructures;cloud provider;data storage;security architecture;security functionalities;security requirements;security-as-a-service model;service provisioning,,4,,37,,,Mar-14,,IEEE,IEEE Journals & Magazines,
Zombie Identification Port,"Inacio, P.R.M.; Gomes, J.V.P.; Freire, M.M.; Pereira, M.; Monteiro, P.P.","Dept. of Comput. Sci., Univ. of Beira Interior, Covilha","Internet Monitoring and Protection, 2008. ICIMP '08. The Third International Conference on",20080715,2008,,,67,73,"Most denial of service (DoS) attacks try to exhaust a victim network or server resources by flooding them with a largely exaggerated amount of bogus requests or fake messages. When a given server or network is under a DoS condition, its capability to distinguish good from bogus requests gets severely reduced and the service is refused to some, if not all, legitimate users. In such situation, the most obvious fact for the victim is the DoS condition itself and nothing else. Because of that, the options of the victim server or network are confined to traffic filtering/shaping or, ultimately, to forensic mechanisms. In this paper, a security mechanism based on simple notifications to a special port is proposed, and explained in detail by enumerating different application cases. The mechanism is going to prove itself especially useful for attenuating the impact of reflected DoS attacks and for the detection of malicious software on remote zombie machines, unconsciously contributing to non spoofed distributed attacks.",,978-0-7695-3189-2,978-0-7695-3189-2,10.1109/ICIMP.2008.10,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4561328,Denial-of-Service;Distributed Denial-of-Service;DoS;Mitigation;Operating System;Security Mechanism;Zombie Identification;port,Application software;Computer crime;Computer networks;Filtering;Internet;Intrusion detection;Network servers;Protocols;Reflection;Telecommunication traffic,invasive software,bogus requests;denial of service attacks;fake messages;forensic mechanisms;malicious software detection;nonspoofed distributed attacks;security mechanism;server resources;traffic filtering;victim server;zombie identification port,,0,,15,,,June 29 2008-July 5 2008,,IEEE,IEEE Conference Publications,
Security Design on Construction Machinery Running Attention System,Li Pengfei; Zhao Jingyil; Yu Nana,"Mech. Eng. Coll., Yanshan Univ., Qinhuangdao, China","Cryptography and Network Security, Data Mining and Knowledge Discovery, E-Commerce & Its Applications and Embedded Systems (CDEE), 2010 First ACIS International Symposium on",20110429,2010,,,239,242,"Through the analysis of CMRAS security design and security system security threats at all levels, including application layer, data access and processing layer, data layer, based on network layer, so as to formulate the corresponding security policies and response measures to ensure security of confidential data transfer and storage in CMRAS, including the technical parameters for construction machinery, operating data, remote operation command, location and other information. The measures also increase the stability of the system's operation, reduce the system failure rate to ensure the safe operation of machinery and the failure of timely diagnosis and maintenance, in the practical application of the good effect. In practical applications it has made the best results.",,978-1-4244-9595-5,,10.1109/CDEE.2010.53,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5759338,CMRAS;data security;security design,Authentication;Business;Data security;Databases;Machinery;Servers,construction equipment;construction industry;security of data,CMRAS;application layer;confidential data transfer;construction machinery running attention system;data access;security design;security system,,0,,5,,,23-24 Oct. 2010,,IEEE,IEEE Conference Publications,
A self-adaptive intrusion detection method for AODV-based mobile ad hoc networks,"Kurosawa, S.; Nakayama, H.; Kato, N.; Jamalipour, A.; Nemoto, Y.","Graduate Sch. of Inf. Sci., Tohoku Univ., Sendai","Mobile Adhoc and Sensor Systems Conference, 2005. IEEE International Conference on",20051212,2005,,,773,780,"Mobile ad hoc networks (MANET) are usually formed without any major infrastructure. As a result, they are relatively vulnerable to malicious network attacks and therefore the security is a more significant issue than in infrastructure-type wireless networks. In these networks, it is difficult to identify malicious hosts, as the topology of the network changes dynamically. A malicious host can easily interrupt a route for which the malicious host is one of the forming nodes in the communication path. In the literature, there are several proposals to detect such malicious host inside the network. In those methods usually a baseline profile is defined in accordance to static training data and then they are used to verify the identity and the topology of the network, thus avoiding any malicious host to be joined in the network. Since the topology of a MANET is dynamically changing, use of a static profile is not efficient. In this paper, we propose a new intrusion detection scheme based on a learning process, so that the training data can be updated at particular time intervals. The simulation results show the effectiveness of the proposed technique compared to conventional schemes",,0-7803-9465-8,,10.1109/MAHSS.2005.1542870,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1542870,,Cryptography;Disaster management;Information security;Intrusion detection;Mobile ad hoc networks;Network topology;Protection;Routing protocols;Telecommunication traffic;Training data,ad hoc networks;mobile radio;telecommunication network topology;telecommunication security,MANET;infrastructure-type wireless networks;malicious network attacks;mobile ad hoc networks;network topology;self adaptive intrusion detection,,3,,26,,,7-7 Nov. 2005,,IEEE,IEEE Conference Publications,
Forecast of intrusion behavior based on interactive knowledge discovery,Xiu-Zhen Chen; Qing-Hua Zheng; Xiao-Hong Guan; Chen-Guang Lin,"Center for Networked Syst. & Inf. Security, Xi''an Jiaotong Univ., China","Machine Learning and Cybernetics, 2004. Proceedings of 2004 International Conference on",20050124,2004,5,,2899,2904 vol.5,"Forecasting intending intrusion according to intrusion preludes is vital in computer security. One novel intrusion behavior forecast system based on interactive knowledge discovery, which consists of off-line interactive knowledge discovery and on-line forecast, is put forward. As to the former, the algorithm of sequential pattern discovery, WINEPI, is introduced to implement interactive knowledge discovery so as to mine frequent sequential patterns, of intrusion behavior from historical intrusion, event dataset. A novel idea of correlating discovered short sequential patterns based on intrusion prerequisite and intrusion intention is proposed to build long sequential patterns. As to the on-line part of intrusion behavior forecast system, it employs inference engine developed in this paper to forecast intrusion behavior based on intrusion preludes and to discover forecast rules. This system changes passive data storage into active data usage and helps to achieve active defense. Application in the integrated network security monitor and defense system named Net-Keeper have shown that all forecast accuracies are greater than 75%, which proves this system is feasible.",,0-7803-8403-2,,10.1109/ICMLC.2004.1378527,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1378527,,Computer security;Data security;Electronic mail;Electronics packaging;Information security;Intelligent networks;Intelligent systems;Intrusion detection;Memory;Search engines,computer networks;data mining;inference mechanisms;security of data,Net Keeper system;WINEPI algorithm;active data storage;defense system;inference engine;integrated computer network security monitor;intrusion behavior forecast system;offline interactive knowledge discovery;online forecasting;passive data storage;sequential pattern discovery,,0,,12,,,26-29 Aug. 2004,,IEEE,IEEE Conference Publications,
Cyber-physical System Risk Assessment,Yong Peng; Tianbo Lu; Jingli Liu; Yang Gao; Xiaobo Guo; Feng Xie,"China Inf. Technol. Security Evaluation Center, Beijing, China","Intelligent Information Hiding and Multimedia Signal Processing, 2013 Ninth International Conference on",20140708,2013,,,442,447,"Cyber Physical System (CPS) is a combination of physical systems with cyber systems, where there is a tight coupling between the two systems. It is widely used in critical national infrastructure, such as electric power, petroleum and chemical industries. Once an attack against the CPS obtains success, the consequence will be unimaginable. A well-designed risk assessment of CPS will provide an overall view of CPS security status and support efficient allocations of safeguard resources. Though there is much relationship between CPS and IT system, they are still different in various aspects, especially the requirement for real-time. Therefore, traditional risk assessment method for IT system can't be directly applied in CPS. New ideas on CPS risk assessment are in urgent need and one idea about this is addressed in this paper. Firstly, it presents a depict description of a three-level CPS architecture and makes an analysis on the corresponding security features in each level. Secondly, it sums up traditional risk assessment methods analyzes the differences between cyber physical system security and traditional IT system security. Finally, the authors blaze a trail under the new perspective of CPS after breaking the restriction of traditional risk assessment methods and propose a risk assessment idea for CPS.",,,,10.1109/IIH-MSP.2013.116,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6846672,CPS;attack tree;risk assessment;simulation,Computer crime;Data communication;Information security;Quantization (signal);Risk management;Software,critical infrastructures;risk management,CPS risk assessment;CPS security status;IT system security;chemical industry;critical national infrastructure;cyber physical system security;cyber systems;cyber-physical system risk assessment;electric power;petroleum industry;risk assessment idea;risk assessment method;safeguard resources;security features;well-designed risk assessment,,0,,13,,,16-18 Oct. 2013,,IEEE,IEEE Conference Publications,
An integrated machine learning and control theoretic model for mining concept-drifting data streams,"Shetty, S.; Mukkavilli, S.K.; Keel, L.H.","Dept. of Electr. & Comput. Eng., Tennessee State Univ., Nashville, TN, USA","Technologies for Homeland Security (HST), 2011 IEEE International Conference on",20111219,2011,,,75,80,"Anomaly-based network Intrusion Detection Systems (IDS) model patterns of normal activity and detect novel network attacks. However, these systems depend on the availability of the systems normal traffic pattern profile. But the statistical fingerprint of the normal traffic pattern can change and shift over a period of time due to changes in operational or user activity at the networked site or even system updates. The changes in normal traffic patterns over time lead to concept drift. Some changes can be temporal, cyclical and can be short-lived or they can last for longer periods of time. Depending on a number of factors the speed at which the change in traffic patterns occurs can also be variable, ranging from near instantaneous to the change occurring over the span of numerous months. These changes in traffic patterns are a cause of concern for IDSs as they can lead to a significant increase in false positive rates, thereby reducing the overall system performance. In order to improve the reliability of the IDS, there is a need for an automated mechanism to detect valid traffic changes and avoid inappropriate ad hoc responses. ROC curves have historically been used to evaluate the accuracy of IDSs. ROC curves generated using fixed, time-invariant classification thresholds do not characterize the best accuracy that an IDS can achieve in presence of concept-drifting network traffic. In this paper, we present a integrated supervised machine learning and control theoretic model for detecting concept drift in network traffic patterns. The model comprises of a online support vector machine based classifier(incremental anomaly based detection), a Kullback - Leibler divergence based relative entropy measurement scheme(quantifying concept drift) and feedback control engine(adapting ROC thresholding). In our proposed system, any intrusion activity will cause significant variations, thereby causing a large error, while a minor aberration in the variations (concept drift) w- ll not be immediately reported as alert.",,978-1-4577-1375-0,,10.1109/THS.2011.6107850,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6107850,Anomaly Based Intrusion Detection Systems;Concept Drift;Support Vector Machine,Accuracy;Adaptation models;Engines;Entropy;Feedback control;Support vector machines;Training,data mining;feedback;learning (artificial intelligence);pattern classification;security of data;support vector machines,Kullback-Leibler divergence;ROC curve;adapting ROC thresholding;anomaly-based network intrusion detection systems;concept drift detection;concept-drifting data stream mining;control theoretic model;entropy measurement scheme;feedback control engine;incremental anomaly based detection;network attack;normal traffic pattern profile;receiver operating characteristic curve;supervised machine learning;support vector machine based classifier;user activity,,1,,21,,,15-17 Nov. 2011,,IEEE,IEEE Conference Publications,
A Multi-Layer Mandatory Access Control Mechanism for Mobile Devices Based on Virtualization,Sung-Min Lee; Sang-bum Suh; Bokdeuk Jeong; Sangdok Mo,"SAMSUNG ELECTRON. CO. LTD., Suwon","Consumer Communications and Networking Conference, 2008. CCNC 2008. 5th IEEE",20080201,2008,,,251,256,"In this paper we present a multi-layer mandatory access control mechanism (ACM) for mobile devices based on system virtualization technology. We discuss a detailed threat model to mobile devices in the real world to develop an ACM fitted to mobile devices. Then, we propose a novel multi-layer access control mechanism for mobile devices, which provides strong protection against the identified mobile threats as well as performance efficiency. Our Virtual Machine Monitor (VMM) and secure domain have independent access control modules to effectively control mobile device's resources. Access control module at VMM controls access requests from a domain to physical/virtual resources in order to confine sharing resources among domains for confidentiality. It also protects a mobile device against DoS attacks draining limited system resources such as battery and memory to guarantee availability. In addition, access control at secure domain enforces fine-grained control of resources (e.g., file system access control) in upper layer without degrading performance of a mobile device due to additional hypercall invocations. Furthermore, there is no bypass of our access control since our ACM is placed inside VMM which is simple and small enough to verify its safety and we eliminated the chance of VMM corruption by checking integrity of VMM including ACM during bootstrap time.",,978-1-4244-1456-7,978-1-4244-1457-4,10.1109/ccnc08.2007.63,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4446361,,Access control;Availability;Batteries;Computer crime;Control systems;Degradation;File systems;Protection;Safety;Virtual machine monitors,authorisation;mobile computing;monitoring;virtual machines,DoS attacks;mobile devices;mobile threats;multilayer mandatory access control mechanism;system virtualization technology;virtual machine monitor,,8,,26,,,10-12 Jan. 2008,,IEEE,IEEE Conference Publications,
Towards a third generation data capture architecture for honeynets,"Balas, E.; Viecco, C.","Adv. Network Manage. Lab, Indiana Univ., Bloomington, IN, USA","Information Assurance Workshop, 2005. IAW '05. Proceedings from the Sixth Annual IEEE SMC",20050815,2005,,,21,28,"Honeynets have become an important tool for researchers and network operators. However, their effectiveness has been impeded by a lack of a standard unified honeynet data model which results from having multiple unrelated data sources, each with its own access method and format. In this paper we propose a new data collection architecture that addresses the need for both rapid comprehension and detailed analysis by providing two data access methods: a relational model based fast path, and a canonical slow path. We also present a set of tools based on this architecture.",,0-7803-9290-6,,10.1109/IAW.2005.1495929,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1495929,,Conferences;Cryptography;Data models;Data security;Impedance;Intrusion detection;Linux;Monitoring;Operating systems;Telecommunication traffic,computer networks;data models;knowledge acquisition;security of data,canonical slow path;computer network;data access method;data capture architecture;data collection architecture;data format;data sources;fast path;honeynet data model;honeynets;honeypots;relational model,,8,,25,,,15-17 June 2005,,IEEE,IEEE Conference Publications,
An Anomaly Detection Module for Firefox OS,Borting Chen; Ming Wei Shih; Yu Lun Huang,"Inst. of Electr. & Control Eng., Nat. Chiao Tung Univ., Hinschu, Taiwan","Software Security and Reliability-Companion (SERE-C), 2014 IEEE Eighth International Conference on",20140918,2014,,,176,184,"Firefox OS, a new Web-based OS developed by Mozilla mainly for mobile platforms, is designed to realize the Boot to the Web concept for the open Web. It supports users booting to the network directly, launching remote applications and accessing remote data with the standard Web technologies. Although Firefox OS has adopted several mechanisms to enhance its security, its current design is lack of a mechanism to detect 1) applications calling Web API with unusual frequency, and 2) applications consuming abnormal amount of resources. In this paper, we propose an anomaly detection module which takes the system resource usage and the amount of inter-process communication as the inputs to detect whether the system has an anomaly. We also conduct several experiments to examine the ability of the proposed module. The results show that detection accuracy of our module is 0% in false negative rate and 12.5% in false positive rate.",,,,10.1109/SERE-C.2014.36,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6901655,Anomaly Detection;Firefox OS;Mobile Security,Browsers;Kernel;Mobile communication;Permission;Training;Vectors,Internet;application program interfaces;mobile computing;operating systems (computers),Firefox OS;Mozilla;Web API;Web-based OS;anomaly detection module;boot to the Web concept;detection accuracy;inter-process communication;mobile platforms;open Web;remote data;standard Web technology;system resource usage,,0,,15,,,June 30 2014-July 2 2014,,IEEE,IEEE Conference Publications,
